version:v1.0
Název [displayName],Uživatelské jméno [userPrincipalName],Počáteční heslo [passwordProfile],Zablokovat přihlášení [accountEnabled],Jméno [givenName],Příjmení [surname],Název úlohy [jobTitle],Oddělení [department],Místo využívání [usageLocation],Ulice [streetAddress],Kraj [state],Země nebo oblast [country],Kancelář [physicalDeliveryOfficeName],Město [city],PSČ [postalCode],Telefon do kanceláře [telephoneNumber],Mobilní telefon [mobile]
Karel Novák,karel_novak@mblab.xyz,V*E2222#G27,Ano,Karel,Novák,Chef,,CZ,,,Czech Republic,,,,,773 124 351
Ester Slavíková,ester_slavikova@mblab.xyz,M*H1330#T79,Ano,Ester,Slavíková,Textile knitting and weaving machine operator,,CZ,,,Czech Republic,,,,,394 228 407
František Kašák,frantisek_kasak@mblab.xyz,S*M3876#P19,Ano,František,Kašák,Recruiting manager,,CZ,,,Czech Republic,,,,,496 742 629
Tereza Suchá,tereza_sucha@mblab.xyz,R*I1128#T33,Ano,Tereza,Suchá,Tamping equipment operator,,CZ,,,Czech Republic,,,,,491 105 502
Eva Slezáková,eva_slezakova@mblab.xyz,C*J1717#D25,Ano,Eva,Slezáková,Operational meteorologist,,CZ,,,Czech Republic,,,,,776 070 884
Daniel Homolka,daniel_homolka@mblab.xyz,W*Z3432#I83,Ano,Daniel,Homolka,Prosthodontist,,CZ,,,Czech Republic,,,,,390 150 246
František Kouba,frantisek_kouba@mblab.xyz,I*R5271#Q65,Ano,František,Kouba,Closed captioner,,CZ,,,Czech Republic,,,,,601 102 778
Alena Vlčková,alena_vlckova@mblab.xyz,G*J2966#U64,Ano,Alena,Vlčková,LAN administrator,,CZ,,,Czech Republic,,,,,720 948 784
Hana Rozehnalová,hana_rozehnalova@mblab.xyz,O*O9120#X34,Ano,Hana,Rozehnalová,Graduate teaching assistant,,CZ,,,Czech Republic,,,,,725 621 381
Romana Konvičná,romana_konvicna@mblab.xyz,K*G3088#O13,Ano,Romana,Konvičná,Cable line installer,,CZ,,,Czech Republic,,,,,585 564 008
Petr Herný,petr_herny@mblab.xyz,F*Q3385#F24,Ano,Petr,Herný,Pulmonary function technologist,,CZ,,,Czech Republic,,,,,382 354 879
Jan Zahrádka,jan_zahradka@mblab.xyz,Q*T3646#A63,Ano,Jan,Zahrádka,Legal nurse consultant,,CZ,,,Czech Republic,,,,,378 434 612
David Herný,david_herny@mblab.xyz,W*Q4963#K99,Ano,David,Herný,Maintenance and repair worker,,CZ,,,Czech Republic,,,,,735 839 857
Aleš Vítovec,ales_vitovec@mblab.xyz,M*H6479#Z83,Ano,Aleš,Vítovec,Dishwasher,,CZ,,,Czech Republic,,,,,535 815 081
Jozef Albrecht,jozef_albrecht@mblab.xyz,Z*Y6614#K79,Ano,Jozef,Albrecht,Cardiographer,,CZ,,,Czech Republic,,,,,319 577 987
Roman Ježek,roman_jezek@mblab.xyz,M*R1721#K25,Ano,Roman,Ježek,Industrial relations manager,,CZ,,,Czech Republic,,,,,601 823 437
Marcela Příhodová,marcela_prihodova@mblab.xyz,H*N4522#E71,Ano,Marcela,Příhodová,Purchasing manager,,CZ,,,Czech Republic,,,,,779 252 779
Helena Lichnovská,helena_lichnovska@mblab.xyz,P*S2381#E58,Ano,Helena,Lichnovská,Industrial-organizational psychologist,,CZ,,,Czech Republic,,,,,738 355 809
Eva Cervená,eva_cervena@mblab.xyz,R*Z1752#H45,Ano,Eva,Cervená,Two-stroke engine mechanic,,CZ,,,Czech Republic,,,,,720 477 748
Jan Balvín,jan_balvin@mblab.xyz,R*T7765#W82,Ano,Jan,Balvín,Army,,CZ,,,Czech Republic,,,,,608 158 953
Elena Tápová,elena_tapova@mblab.xyz,W*K5826#Z43,Ano,Elena,Tápová,Drywall installer,,CZ,,,Czech Republic,,,,,608 078 173
Miroslav Chládek,miroslav_chladek@mblab.xyz,Y*Q7358#J40,Ano,Miroslav,Chládek,Sales engineer,,CZ,,,Czech Republic,,,,,738 071 300
Alena Moravcová,alena_moravcova@mblab.xyz,D*S4213#O48,Ano,Alena,Moravcová,Crane and tower operator,,CZ,,,Czech Republic,,,,,460 336 462
Nela Berková,nela_berkova@mblab.xyz,G*X5722#U51,Ano,Nela,Berková,Customs inspector,,CZ,,,Czech Republic,,,,,373 409 994
Jan Cerný,jan_cerny@mblab.xyz,G*R6666#N86,Ano,Jan,Cerný,Medical transcriptionist,,CZ,,,Czech Republic,,,,,575 853 248
Lukáš Račák,lukas_racak@mblab.xyz,Z*H8047#Q92,Ano,Lukáš,Račák,Recruiter,,CZ,,,Czech Republic,,,,,385 168 192
Radek Herzig,radek_herzig@mblab.xyz,G*Y8676#F48,Ano,Radek,Herzig,Geophysicist,,CZ,,,Czech Republic,,,,,734 572 568
Miroslav Míka,miroslav_mika@mblab.xyz,X*F5481#Q76,Ano,Miroslav,Míka,Building cleaning worker,,CZ,,,Czech Republic,,,,,580 922 658
Vladimír Pergl,vladimir_pergl@mblab.xyz,H*I1877#O76,Ano,Vladimír,Pergl,Certified nursing assistant,,CZ,,,Czech Republic,,,,,735 306 426
Sára Kalendová,sara_kalendova@mblab.xyz,L*S6937#M27,Ano,Sára,Kalendová,Child protective services social worker,,CZ,,,Czech Republic,,,,,725 941 227
Milan Doležal,milan_dolezal@mblab.xyz,U*H2041#M45,Ano,Milan,Doležal,Hydrographic surveyor,,CZ,,,Czech Republic,,,,,581 061 915
Vojtěch Hradil,vojtech_hradil@mblab.xyz,O*F3383#T18,Ano,Vojtěch,Hradil,Adjuster,,CZ,,,Czech Republic,,,,,327 225 583
Miloslava Znamenáčková,miloslava_znamenackova@mblab.xyz,M*H8056#C97,Ano,Miloslava,Znamenáčková,Banquet manager,,CZ,,,Czech Republic,,,,,480 372 715
Milan Novák,milan_novak@mblab.xyz,H*C4682#C79,Ano,Milan,Novák,Fish and game warden,,CZ,,,Czech Republic,,,,,772 183 495
Hana Svobodová,hana_svobodova@mblab.xyz,O*A3092#W91,Ano,Hana,Svobodová,Hand compositor,,CZ,,,Czech Republic,,,,,723 062 337
Alexandra Cicková,alexandra_cickova@mblab.xyz,E*K3859#G50,Ano,Alexandra,Cicková,Snowmobile mechanic,,CZ,,,Czech Republic,,,,,352 038 281
